"","MMA001","MMA002","MMA003","MMA004","MMA005","MMA006","MMA007","MMA008","MMA009","MMA010","MMA011","MMA012","MMA013","MMA014","MMA015","MMA016","MMA017","MMA018","MMA019","MMA020","MMA021","MMA022","MMA023","MMA024","MMA025","MMA026","MMA027","MMA028","MMA029","MMA030","MMA031","MMA032","MMA033","MMA034","MMA035","MMB001","MMB002","MMB003","MMB004","MMB005","MMB006","MMB007","MMB008","MMB009","MMB010","MMB011","MMB012","MMB013","MMB014","MMB015","MMB016","MMB018","MMB019","MMB020","MMB021","MMB022","MMB023","MMB024","MMB025","MMB026","MMC001","MMC002","MMC003","MMC005","MMC006","MMC007","MMC008","MMC010","MMC011","MMC012","MMC013","MMC014","MMC015","MMC016","MMC017","MMC018","MMC019","MMC020","MMC021","MMC022","MMC023","MMC024","MMC025","MMC026","MMC027","MMC029","MMC030","MMC031","MMC032","MMC033"
"2002",25.943,9.91022175754706,29.1374982174097,13.495,17.369,27.1529134031009,42.212,23.10049287235,29.082,24.8458880253084,8.11243740294002,20.3405279351678,14.3472196344322,27.727,23.592,37.644,27.7655190904372,91.895,25.4370031569998,33.075,18.599,37.278,23.821,59.8786460964665,34.6051789024612,18.364,26.9458706317637,41.3443332983332,30.7195955750111,54.533,47.557,54.38,38.1576467181261,21.2180585112271,29.5058593473199,72.543,20.5085896409126,24.54,51.527,17.194,48.417,35.0384505338119,73.098925206013,49.893,28.466,44.4181239493745,21.996,29.439,20.185,19.2474653829567,80.8651180890802,30.312,39.61,33.0509324254414,31.9625260369616,41.894,24.7508324650699,51.51,40.6879134427618,26.2526841909954,35.2627760592305,21.445,20.134,13.378,42.439,15.3435507864076,12.9067000914442,49.267,34.554,11.2922100876839,29.846,23.2396800136076,9.94139284627284,87.493,20.118,20.897,24.7811594687831,37.0299916295192,40.4598244506768,16.997,24.079,47.198,24.4316882881487,45.3460367217294,32.6496263003556,31.439139524231,43.471,28.3731641172642,47.951,53.75
"2001",25.42,9.55422175754706,28.8044982174097,13.014,17.132,26.5759134031009,41.432,22.88249287235,28.697,24.4638880253084,8.05043740294002,20.1685279351678,14.0702196344322,27.105,23.38,37.33,27.4555190904372,91.418,24.9570031569998,32.322,18.264,36.737,23.651,59.5539460964665,34.0581789024612,18.097,26.5438706317637,40.9073332983332,30.3095955750111,53.771,47.155,53.63,37.8776467181261,21.1510585112271,29.0928593473199,72.237,20.2295896409126,24.311,50.814,17.101,47.869,34.7384505338119,72.5362585393463,49.495,28.373,43.9931239493745,21.656,29.105,19.769,19.1754653829567,80.0477847557469,30.107,39.414,32.0909324254414,31.0645260369616,41.446,24.5348324650699,50.695,40.1729134427618,26.0616841909954,34.8297760592305,21.276,19.778,13.142,41.952,15.2855507864076,12.8627000914442,49.056,34.242,11.1012100876839,29.534,23.0876800136075,9.81839284627284,87.123,19.673,20.654,24.7621594687831,36.5919916295192,39.1818244506768,16.609,23.502,46.359,24.3146882881487,44.9060367217294,32.1496263003556,31.028139524231,43.338,28.2291641172642,47.618,53.2
"2000",24.862,9.48622175754706,28.2714982174097,12.682,16.729,25.9369134031009,40.291,22.55849287235,28.366,24.0578880253084,7.98043740294002,19.8845279351678,13.7862196344322,26.391,23.073,37.207,26.9235190904372,90.88725,24.2770031569998,31.657,17.749,36.115,23.402,58.9861460964665,33.2291789024612,17.703,26.1388706317637,40.3403332983332,29.7875955750111,52.949,46.75,52.972,37.1976467181261,21.0360585112271,28.8598593473199,71.892,19.9735896409126,23.99,50.04,16.94,47.196,34.3194505338119,71.844925206013,49.046,28.279,43.3581239493745,21.196,28.647,19.285,19.0664653829567,78.9691180890802,29.693,39.14,31.0229324254414,30.3035260369616,40.952,24.2968324650699,50.024,39.6109134427618,25.8916841909954,34.3317760592305,21.066,19.387,12.94,41.228,15.2115507864076,12.8247000914442,48.8,33.966,10.8992100876839,29.248,22.9496800136075,9.69139284627284,86.511,19.158,20.355,24.7351594687831,36.0239916295192,38.9098244506768,16.14,22.766,45.261,24.0586882881487,44.446703388396,31.6816263003556,30.573139524231,43.143,28.0351641172642,47.176,52.482
"1999",24.346,9.20822175754706,27.7344982174097,12.158,16.37,25.1869134031009,39.155,22.26249287235,28.075,23.5768880253084,7.92043740294002,19.6425279351678,13.4422196344322,25.901,22.815,36.909,26.5455190904372,90.40025,23.7860031569998,31.223,17.209,35.515,23.223,58.6168460964665,32.6081789024612,17.362,25.7628706317637,39.9213332983332,29.3145955750111,52.357,46.302,52.307,37.0016467181261,20.9010585112271,28.5228593473199,71.642,19.5685896409126,23.717,49.28,16.674,46.637,33.9864505338119,71.5302585393463,48.677,28.108,42.6711239493745,20.904,28.181,18.742,18.9684653829567,78.2891180890802,29.281,38.824,29.4439324254414,29.8605260369616,40.654,24.0988324650699,49.442,39.1239134427618,25.7726841909954,33.8347760592305,20.944,18.95,12.792,40.6,15.1915507864076,12.7897000914442,48.651,33.692,10.7162100876839,28.922,22.7896800136075,9.40139284627285,86.033,18.658,20.069,24.6951594687831,35.5699916295192,37.9738244506768,15.681,22.043,44.32,23.8316882881487,44.076703388396,31.2286263003556,30.242139524231,42.975,27.8751641172642,46.878,51.986
"1998",23.727,8.90222175754706,27.2314982174097,11.84,15.996,24.5289134031009,38.164,21.96349287235,27.688,23.2398880253084,7.76943740294002,19.3725279351678,13.1262196344322,25.378,22.594,36.641,26.0295190904372,89.95575,23.2680031569998,30.772,16.927,34.9,23.06,58.0426460964665,31.8681789024612,17.092,25.3188706317637,39.6163332983332,28.8735955750111,51.594,45.901,51.799,36.7696467181261,20.7860585112271,28.2168593473199,71.372,19.2345896409126,23.473,48.53,16.461,46.138,33.6684505338119,70.9842585393463,48.359,27.905,41.9841239493745,20.62,27.865,18.34,18.7864653829567,77.4404514224136,29.046,38.35,28.1569324254414,29.2655260369616,40.08,23.9208324650699,48.815,38.6449134427618,25.6716841909954,33.4357760592305,20.798,18.564,12.628,39.977,15.1495507864076,12.7247000914442,48.428,33.516,10.5322100876839,28.677,22.5316800136075,9.05939284627284,85.628,17.993,19.873,24.6301594687831,35.0079916295192,37.0338244506768,15.28,21.435,43.486,23.6906882881487,43.4793700550627,30.7096263003556,29.799139524231,42.813,27.6851641172642,46.506,51.422
"1997",23.272,8.54022175754706,26.7354982174097,11.384,15.618,23.8729134031009,36.954,21.62349287235,27.306,22.8818880253084,7.60043740294002,19.0405279351678,12.7362196344322,24.749,22.338,36.253,25.7375190904372,89.3545,22.6330031569998,29.988,16.565,34.186,22.925,57.3220460964665,30.9151789024612,16.849,24.7998706317637,39.2743332983332,28.4755955750111,50.368,45.545,51.246,36.4036467181261,20.6860585112271,27.8158593473199,70.971,18.6985896409126,23.218,47.542,16.142,45.501,33.3124505338119,70.522925206013,48.047,27.747,41.2861239493745,20.352,27.569,17.994,18.6684653829567,76.7744514224136,28.706,37.892,26.3079324254414,28.2185260369616,39.59,23.7108324650699,47.763,37.9719134427618,25.5366841909954,33.0007760592305,20.64,18.204,12.448,39.363,15.1115507864076,12.6427000914442,48.23,33.272,10.2502100876839,28.413,22.4216800136075,8.69239284627285,85.116,17.51,19.659,24.5491594687831,34.4909916295192,36.3178244506768,14.872,20.62,42.62,23.4606882881487,42.936703388396,30.3006263003556,29.472139524231,42.676,27.5191641172642,46.116,50.97
"1996",22.912,8.33422175754706,26.3234982174097,11.065,15.218,23.1949134031009,36.038,21.27549287235,26.987,22.6538880253084,7.39643740294002,18.5825279351678,12.3852196344322,24.136,22.108,35.921,25.4535190904372,88.986,21.9100031569998,29.494,15.958,33.602,22.831,57.0723460964665,30.1551789024612,16.665,24.1798706317637,38.7463332983332,28.1365955750111,49.739,45.214,50.774,36.0236467181261,20.6020585112271,27.5558593473199,70.775,18.0835896409126,22.919,46.657,15.667,44.908,32.7114505338119,70.1602585393463,47.845,27.568,40.8911239493745,20.101,27.281,17.649,18.4684653829567,76.3517847557469,28.323,37.664,25.5789324254414,27.6955260369616,39.186,23.3328324650699,47.04,37.4199134427618,25.3426841909954,32.6987760592305,20.483,17.832,12.336,38.765,15.0515507864076,12.5577000914442,48.084,33.084,10.0872100876839,28.193,22.2656800136076,8.22139284627285,84.753,17.022,19.463,24.4881594687831,33.9599916295192,35.6898244506768,14.556,19.991,41.753,23.0716882881487,42.4860367217294,30.0306263003556,29.103139524231,42.492,27.2771641172642,45.928,50.552
"1995",22.409,8.12222175754706,26.0114982174097,10.894,14.814,22.6839134031009,35.012,20.92449287235,26.79,22.5248880253083,7.11643740294002,18.2065279351678,12.2642196344322,23.708,21.89,35.407,25.0875190904372,88.626,20.9860031569998,29.003,15.385,33.09,22.712,56.6698460964665,29.5661789024612,16.556,23.5728706317637,38.4603332983332,27.8435955750111,48.889,44.892,50.182,35.9656467181261,20.4910585112271,27.2748593473199,70.53,17.6885896409126,22.639,45.917,15.19,44.31,32.3454505338119,69.830925206013,47.726,27.507,40.3641239493745,19.972,27.061,17.319,18.3284653829567,75.8997847557469,27.976,37.428,24.7819324254414,27.0055260369616,38.806,23.0988324650699,46.268,37.0499134427618,25.2436841909954,32.4407760592305,20.346,17.456,12.17,38.163,14.9915507864076,12.4687000914442,47.953,32.724,9.90021008768387,27.985,22.1656800136075,7.89039284627284,84.409,16.604,19.277,24.3941594687831,33.4489916295192,35.2918244506768,14.263,19.421,40.823,22.8046882881487,42.0200367217294,29.6866263003556,28.729139524231,42.265,27.0891641172642,45.625,50.184
"1994",21.621,7.90222175754706,25.4504982174097,10.189,14.211,21.8099134031009,33.833,20.24849287235,26.462,22.3798880253084,6.66843740294002,17.6405279351678,12.2032196344322,23.34,21.627,34.646,24.6175190904372,88.259,20.0170031569998,28.271,15.08,32.268,22.591,56.4038460964665,28.9761789024612,16.29,23.2668706317637,37.6923332983332,27.3845955750111,47.794,44.288,49.732,35.7616467181261,20.3460585112271,26.9398593473199,70.326,17.1155896409126,22.226,45.163,14.428,43.545,31.7974505338119,69.3875918726797,47.449,27.383,39.8641239493745,19.705,26.889,17.076,18.0734653829567,75.0284514224136,27.514,37.072,23.4769324254414,25.6695260369616,38.086,22.6928324650699,45.582,36.4349134427618,24.9946841909954,31.9167760592305,20.126,17.178,12.01,37.168,14.8455507864076,12.3097000914442,47.781,32.394,9.52521008768387,27.777,22.0196800136075,7.56439284627285,83.911,16.197,19.086,24.2401594687831,32.7409916295192,34.8198244506768,14.032,18.376,39.839,22.4206882881487,41.570703388396,29.3976263003556,28.071139524231,42.002,26.5391641172642,45.305,49.728
"1993",21.086,7.62622175754706,24.9274982174097,9.777,13.765,21.3599134031009,32.822,19.99649287235,26.096,22.0068880253083,6.44343740294002,17.1305279351678,12.1632196344322,23.021,21.341,34.112,24.2355190904372,87.92775,19.1300031569998,27.659,14.872,31.684,22.403,56.1776460964665,28.4531789024612,15.889,22.9128706317637,37.1273332983332,26.9175955750111,46.849,43.841,49.161,35.5976467181261,20.2160585112271,26.8308593473199,70.152,16.9255896409126,22.013,44.604,13.954,42.864,31.4944505338119,69.0962585393463,47.208,27.259,39.5831239493745,19.58,26.681,16.892,17.9434653829567,74.6097847557469,27.366,36.78,22.7889324254414,25.0875260369616,37.386,22.4308324650699,44.957,35.9019134427618,24.8306841909954,31.2107760592305,19.843,16.882,11.844,36.272,14.6055507864076,12.0907000914442,47.66,32.056,9.26221008768387,27.589,21.8516800136075,7.27839284627285,83.402,15.907,18.902,24.1201594687831,32.1849916295192,34.3018244506768,13.77,17.605,38.906,22.1406882881487,41.1620367217294,29.0166263003556,27.517139524231,41.717,26.1451641172642,44.94,49.288
"1992",20.5,7.39422175754706,23.9004982174097,9.113,13.215,20.7409134031009,31.256,19.57349287235,25.185,21.5628880253084,5.94143740294002,16.3325279351678,12.1152196344322,22.697,20.941,33.351,23.9035190904372,87.48375,18.0180031569998,26.745,14.749,30.795,22.188,55.6215460964665,27.6261789024612,14.949,22.2158706317637,36.2443332983332,26.4525955750111,45.881,43.12,48.314,35.3776467181261,20.0090585112271,26.6568593473199,69.527,16.5695896409126,21.535,43.771,13.518,42.024,31.1494505338119,67.9862585393463,46.779,27.158,38.9621239493745,19.399,26.329,16.642,17.6574653829567,72.9191180890802,27.059,36.354,20.9969324254414,23.5755260369616,36.552,22.1388324650699,43.988,35.3369134427618,24.6186841909954,30.5737760592305,19.433,16.517,11.558,34.947,13.9975507864076,11.7577000914442,47.509,31.402,9.00121008768387,27.429,21.6016800136075,6.98039284627285,82.713,15.465,18.742,23.9401594687831,31.5729916295192,33.2558244506768,13.612,16.185,37.793,21.8716882881487,40.446703388396,28.4826263003556,26.910139524231,41.384,25.6071641172642,44.516,48.736
"1991",19.656,7.16422175754706,22.2404982174097,8.611,12.453,19.7119134031009,29.953,18.62649287235,23.746,20.8778880253084,5.43543740294002,15.2925279351678,12.0622196344322,22.436,20.545,32.921,23.3955190904372,86.998,16.8520031569998,25.768,14.692,29.858,22.011,55.1621460964665,26.7771789024612,13.894,21.9858706317637,35.3593332983332,25.5985955750111,44.821,42.229,47.677,35.1156467181261,19.7730585112271,26.4498593473199,68.884,16.0125896409126,21.018,42.813,13.113,41.308,30.6254505338119,66.9295918726797,46.378,26.955,38.3031239493745,19.092,26.009,16.427,17.3384653829567,71.7751180890802,26.567,35.798,19.3949324254414,22.0725260369616,35.506,21.5588324650699,43.01,34.6119134427618,24.0056841909954,29.6457760592305,19.128,16.192,11.226,33.594,13.5455507864076,11.2667000914442,47.38,30.834,8.74521008768387,27.275,21.1976800136075,6.73439284627285,82.136,15.117,18.605,23.6801594687831,30.8919916295192,32.3738244506768,13.477,14.971,36.505,21.5636882881487,39.9733700550627,28.0856263003556,26.000139524231,41.007,25.0471641172642,44.129,48.234
