"","MMA","MMB","MMC"
"1929",3.61624479968521,1.6027378609406,3.81646490161544
"1928",3.50916744759472,1.5031970563415,3.73999419404368
"1927",3.39343941375692,1.39786094135602,3.66211244459932
"1926",3.29067299806518,1.29709995215281,3.56749048051586
"1925",3.19609237701579,1.21375702346179,3.49159477274683
"1924",3.11689462403507,1.132490449967,3.42846644375647
"1923",3.03486382214528,1.03973816880224,3.35612510942374
"1922",2.96083988714112,0.971624559981587,3.26505037806067
"1921",2.88780897291039,0.908461625210401,3.17307936494457
"1920",2.8237300143724,0.853713599152673,3.07720243108881
"1919",2.75341655336939,0.795983348108255,2.98948935773674
"1918",2.69648220473421,0.754331684168146,2.89390759552146
"1917",2.63987523297821,0.709288910485696,2.79165288021624
"1916",2.57052864445448,0.65710589088292,2.65758608895811
"1915",2.49724410978842,0.596351166319482,2.53006592674728
"1914",2.42234525103426,0.537329877469139,2.43192844360181
"1913",2.37139088251952,0.507530920090186,2.33296013736399
"1912",2.30990438347399,0.471693344341272,2.22767715406957
"1911",2.23617199147984,0.415475518806603,2.11706537741092
"1910",2.17519204461821,0.381172856155009,2.01013000946891
"1909",2.07812452066236,0.346161428162778,1.91262896018094
"1908",1.98352063110098,0.309527872020212,1.81792915645275
"1907",1.89083208110378,0.273412629744222,1.72608059229897
"1906",1.79988940143764,0.245457044518628,1.63864219078817
"1905",1.71159179976572,0.217395164321453,1.55273480784008
"1904",1.62398618377866,0.192650758779917,1.46820432252521
"1903",1.54057608760131,0.170040988647533,1.38787057479396
