TreeID,PlotID,site,tree,spp,canopy.class,live.dead,dbh,stems,total.cores,ba.cm,ba.meter.ha,density,notes,Distance,Azimuth
ACC007,ACC,Austin Cary FL,7,PIPA,C,LIVE,26.3,1,2,543.3,0.43230625,7.957747155,,12.23,207
ACC008,ACC,Austin Cary FL,8,PIPA,C,LIVE,23.5,1,2,433.7,0.34515625,7.957747155,,6.86,210
ACC009,ACC,Austin Cary FL,9,PIPA,C,LIVE,28.5,1,2,637.9,0.50765625,7.957747155,,16.69,184
ACC010,ACC,Austin Cary FL,10,PIPA,C,LIVE,27.3,1,2,585.3,0.46580625,7.957747155,,13.94,161
ACC011,ACC,Austin Cary FL,11,PIPA,C,LIVE,33.2,1,2,865.7,0.6889,7.957747155,,8.24,157
ACC012,ACC,Austin Cary FL,12,PIPA,C,LIVE,33,1,2,855.3,0.680625,7.957747155,,5.67,144
ACC013,ACC,Austin Cary FL,13,PIPA,C,LIVE,46.5,1,2,1698.2,1.35140625,7.957747155,,11.56,143
ACC014,ACC,Austin Cary FL,14,PIPA,C,LIVE,24,1,2,452.4,0.36,7.957747155,,14.62,140
ACC015,ACC,Austin Cary FL,15,PIPA,C,LIVE,27.3,1,2,585.3,0.46580625,7.957747155,,12.34,128
ACC016,ACC,Austin Cary FL,16,PIPA,C,LIVE,26.8,1,2,564.1,0.4489,7.957747155,,10.59,125
ACC017,ACC,Austin Cary FL,17,PIPA,C,LIVE,29.3,1,2,674.3,0.53655625,7.957747155,,12.49,95
ACC018,ACC,Austin Cary FL,18,PIPA,C,LIVE,23.3,1,2,426.4,0.33930625,7.957747155,tagged: 143,20,39
ACC019,ACC,Austin Cary FL,19,PIPA,C,LIVE,36.5,1,2,1046.3,0.83265625,7.957747155,"giant lightning scar, tag burned away",17.89,39
ACC020,ACC,Austin Cary FL,20,PIPA,C,LIVE,33.5,1,2,881.4,0.70140625,7.957747155,,14.49,41
ACC021,ACC,Austin Cary FL,21,PIPA,C,LIVE,31.8,1,2,794.2,0.632025,7.957747155,,12.65,50
ACC022,ACC,Austin Cary FL,22,PIPA,C,LIVE,24.5,1,2,471.4,0.37515625,7.957747155,,7.77,58
ACC023,ACC,Austin Cary FL,23,PIPA,C,LIVE,26.5,1,2,551.5,0.43890625,7.957747155,,5.14,49
ACC024,ACC,Austin Cary FL,24,PIPA,C,LIVE,28.1,1,2,620.2,0.49350625,7.957747155,,2.86,42
ACC025,ACC,Austin Cary FL,25,PIPA,*,DEAD,21.9,1,1,376.7,0.29975625,7.957747155,"1 core, lots of rot",10.47,19
ACC026,ACC,Austin Cary FL,26,PIPA,*,DEAD,24,1,2,452.4,0.36,7.957747155,"fire scar, rotten",12.73,26
DHA001,DHA,Duke Hardwood,1,QUBI,I,LIVE,15.7,1,2,193.6,0.364630178,18.83490451,,7.99,137
DHA002,DHA,Duke Hardwood,2,LIST,D,LIVE,17.9,1,2,251.6,0.47397929,18.83490451,,10.87,136
DHA003,DHA,Duke Hardwood,3,QUBI,D,LIVE,59.3,1,2,2761.8,2.19780625,7.957747155,,12.41,103
DHA004,DHA,Duke Hardwood,4,QUPH,D,LIVE,55.5,1,2,2419.2,1.92515625,7.957747155,WILLOW OAK,2.08,54
DHA005,DHA,Duke Hardwood,5,QUPH,C,LIVE,24.7,1,2,479.2,0.38130625,7.957747155,,6.14,54
DHA006,DHA,Duke Hardwood,6,QUPH,C,LIVE,43.1,1,2,1459,1.16100625,7.957747155,,8.48,29
DHA007,DHA,Duke Hardwood,7,ACRU,I,LIVE,21.3,1,2,356.3,0.28355625,7.957747155,VAR. TRILOBA,11.98,8
DHA008,DHA,Duke Hardwood,8,OAK,*,DEAD,22.1,1,2,383.6,0.30525625,7.957747155,,10.07,35
DHA009,DHA,Duke Hardwood,9,OAK,*,DEAD,20.8,1,2,339.8,0.2704,7.957747155,,11.41,55
DHA010,DHA,Duke Hardwood,10,LIST,D,LIVE,66.1,1,2,3431.6,2.73075625,7.957747155,,10.69,357
DHA011,DHA,Duke Hardwood,11,OAK,*,DEAD,26.4,1,2,547.4,0.4356,7.957747155,,5.37,350
DHA012,DHA,Duke Hardwood,12,QUBI,C,LIVE,42,1,2,1385.4,1.1025,7.957747155,,10.84,320
