"","MMA007A","MMA007B","MMA014A","MMA014B","MMA015A","MMA015B","MMA018A","MMA018B","MMA018C","MMA018D","MMA022A","MMA022B","MMA023A","MMA023B","MMA024A","MMA024B","MMA026A","MMA026B","MMA030A","MMA030B","MMA031A","MMA031B","MMA032A","MMA032B","MMB001A","MMB001B","MMB002A","MMB002B","MMB003A","MMB003B","MMB004A","MMB004B","MMB006A","MMB006B","MMB007A","MMB007B","MMB008A","MMB008B","MMB008C","MMB009A","MMB009B","MMB011A","MMB012A","MMB012B","MMB013B","MMB014A","MMB014B","MMB015A","MMB015B","MMB016A","MMB016B","MMB016C","MMB018A","MMB018B","MMB019A","MMB020A","MMB020B","MMB021A","MMB021B","MMB022A","MMB023A","MMB024A","MMB024B","MMB025A","MMB025B","MMB026B","MMC003A","MMC003B","MMC010A","MMC010B","MMC011A","MMC013A","MMC013B","MMC016A","MMC016B","MMC017A","MMC017B","MMC018A","MMC018B","MMC022A","MMC022B","MMC023A","MMC023B","MMC024A","MMC024B","MMC026A","MMC026B","MMC026C","MMC027A","MMC027B","MMC032A","MMC032B","MMC033A","MMC033B"
"2014",51.27,51.27,35.42,35.42,24.9,24.9,97.27,97.27,97.27,97.27,43.22,43.22,24.8,24.8,64.39,64.39,21.17,21.17,61.4,61.4,52.37,52.37,60.15,60.15,75.8,75.8,22.9,22.9,26.5,26.5,59.4,59.4,53.4,53.4,37.1,37.1,77.3,77.3,77.3,53.5,53.5,49.4,24.3,24.3,33.4,24.5,24.5,21.2,21.2,87.4,87.4,87.4,33.5,33.5,41.5,42.3,42.3,38.4,38.4,45.5,26.3,59.2,59.2,44.4,44.4,27.8,23.1,23.1,51.8,51.8,35.8,35.1,35.1,91.8,91.8,25.74,25.74,23.6,23.6,20.3,20.3,28.7,28.7,55.6,55.6,48.8,48.8,48.8,37.4,37.4,51.2,51.2,58.6,58.6
"2013",51.161,51.183,35.312,35.31,24.883,24.878,97.1465,97.157,97.1535,97.1675,43.165,43.175,24.756,24.777,64.39,64.39,21.099,21.091,61.169,61.281,52.345,52.33,60.081,60.065,75.792,75.8,22.9,22.9,26.477,26.489,59.383,59.368,53.343,53.314,37.1,37.1,77.3,77.3,77.3,53.433,53.419,49.4,24.285,24.286,33.34,24.42,24.44,21.2,21.2,87.4,87.4,87.4,33.482,33.5,41.486,42.3,42.3,38.4,38.4,45.463,26.3,59.06,59.083,44.4,44.4,27.8,23.066,23.044,51.763,51.755,35.771,35.048,35.058,91.708,91.733,25.689,25.685,23.555,23.556,20.248,20.242,28.685,28.688,55.506,55.498,48.8,48.8,48.8,37.4,37.4,51.159,51.17,58.5,58.512
"2012",50.745,50.639,35.071,34.886,24.854,24.862,96.816,96.9455,96.8985,97.057,42.855,42.864,24.716,24.748,64.3692,64.39,20.927,20.932,60.843,61.012,52.147,52.153,59.916,59.896,75.703,75.685,22.819,22.823,26.272,26.398,58.967,59.097,53.135,53.012,37.063,37.019,77.233,77.238,77.227,53.262,53.26,49.219,24.18,24.188,33.18,24.193,24.254,21.2,21.2,87.292,87.314,87.305,33.231,33.25,41.396,42.187,42.246,38.358,38.352,45.269,26.226,58.752,58.847,44.296,44.292,27.757,23.002,22.915,51.697,51.657,35.738,34.868,34.948,91.505,91.539,25.392,25.355,23.421,23.484,20.078,20.055,28.277,28.429,55.151,55.175,48.75,48.752,48.749,37.317,37.311,51.057,51.061,58.3,58.309
"2011",50.501,50.297,34.794,34.585,24.823,24.843,96.5415,96.764,96.6875,96.8035,42.689,42.589,24.672,24.72,64.2874,64.39,20.797,20.809,60.665,60.821,51.994,51.957,59.753,59.747,75.618,75.602,22.748,22.761,26.193,26.344,58.671,58.886,53.004,52.824,37.004,36.924,77.193,77.187,77.167,53.155,53.146,49.136,24.124,24.133,33.075,24.053,24.087,21.2,21.2,87.215,87.239,87.187,33.089,33.136,41.33,42.109,42.16,38.305,38.299,45.16,26.174,58.467,58.565,44.296,44.129,27.73,22.931,22.828,51.617,51.58,35.71,34.687,34.814,91.354,91.391,25.232,25.135,23.33,23.427,19.946,19.933,28.148,28.359,54.949,54.919,48.722,48.711,48.689,37.234,37.252,50.956,50.941,58.162,58.142
"2010",50.08,49.881,34.415,34.149,24.799,24.814,96.286,96.584,96.465,96.59,42.5,42.323,24.643,24.693,64.1547,64.39,20.721,20.732,60.476,60.597,51.886,51.809,59.462,59.499,75.491,75.471,22.684,22.683,26.091,26.279,58.391,58.663,52.815,52.6,36.981,36.924,77.081,77.074,77.024,53.044,53.031,48.963,24.068,24.085,32.958,23.884,23.82,21.2,21.2,87.069,87.087,86.792,32.919,33.003,41.208,41.845,41.888,38.168,38.175,45.064,26.174,58.142,58.303,44.229,43.985,27.684,22.846,22.699,51.541,51.418,35.676,34.533,34.47,91.142,91.218,25.025,24.685,23.203,23.379,19.826,19.788,27.977,28.261,54.634,54.556,48.656,48.607,48.532,37.025,37.101,50.816,50.843,57.967,57.893
"2009",49.554,49.284,34.06,33.835,24.772,24.787,96.0085,96.4435,96.2205,96.377,42.177,42.033,24.605,24.675,63.9088,63.9955,20.611,20.635,60.234,60.31,51.689,51.611,59.186,59.191,75.273,75.155,22.619,22.607,25.975,26.179,57.964,58.386,52.649,52.279,36.935,36.878,76.908,76.827,76.799,52.906,52.863,48.645,23.994,24.028,32.833,23.685,23.555,21.2,21.2,86.897,86.833,86.209,32.786,32.888,41.136,41.255,41.411,37.852,37.784,44.92,26.133,57.663,57.943,44.126,43.822,27.636,22.73,22.577,51.448,51.314,35.639,34.349,34.311,90.968,91.083,24.766,24.501,23.022,23.303,19.703,19.636,27.766,28.128,54.308,54.057,48.535,48.479,48.335,36.785,36.937,50.679,50.67,57.702,57.578
"2008",49.164,48.889,33.711,33.547,24.719,24.75,95.6795,96.2735,95.976,96.1665,41.838,41.805,24.572,24.644,63.6712,63.5681,20.506,20.529,59.85,59.945,51.523,51.324,58.961,58.935,75.103,74.942,22.557,22.508,25.895,26.102,57.38,58.181,52.468,52.051,36.898,36.858,76.728,76.562,76.59,52.753,52.651,48.292,23.922,23.963,32.701,23.557,23.395,21.2,21.2,86.736,86.334,85.842,32.622,32.782,41.044,40.769,40.909,37.586,37.447,44.797,26.086,57.431,57.715,44.063,43.684,27.582,22.637,22.459,51.372,51.16,35.609,34.094,34.147,90.737,90.857,24.566,24.267,22.876,23.249,19.575,19.512,27.587,28.01,53.919,53.634,48.452,48.358,48.152,36.54,36.759,50.545,50.531,57.514,57.349
"2007",48.918,48.564,33.388,33.244,24.652,24.713,95.3995,96.083,95.756,95.9065,41.522,41.547,24.539,24.615,63.3818,63.1884,20.407,20.412,59.573,59.586,51.315,51.041,58.71,58.678,74.986,74.834,22.484,22.377,25.835,26.012,56.851,57.994,52.304,51.772,36.822,36.844,76.574,76.385,76.354,52.603,52.439,47.974,23.752,23.868,32.567,23.407,23.155,21.192,21.178,86.623,86.219,85.597,32.43,32.652,40.954,40.339,40.583,37.303,37.197,44.688,26.028,57.17,57.49,43.971,43.539,27.541,22.49,22.303,51.265,51.04,35.558,33.595,33.941,90.533,90.63,24.36,24.023,22.743,23.196,19.453,19.381,27.35,27.8,53.593,53.229,48.383,48.27,47.961,36.364,36.576,50.391,50.379,57.259,57.058
"2006",48.497,48.077,33.078,32.944,24.593,24.673,95.176,95.938,95.542,95.7005,41.324,41.332,24.486,24.589,63.2555,62.9515,20.265,20.299,59.27,59.244,51.152,50.734,58.456,58.427,74.886,74.732,22.416,22.318,25.789,25.949,56.362,57.782,52.155,51.514,36.783,36.768,76.431,76.302,76.185,52.444,52.224,47.606,23.637,23.784,32.431,23.268,22.962,21.171,21.169,86.488,86.105,85.448,32.235,32.566,40.891,39.927,40.335,37.087,36.931,44.485,25.971,56.668,56.991,43.884,43.434,27.51,22.36,22.148,51.184,50.92,35.472,33.361,33.742,90.289,90.506,24.096,23.817,22.537,23.123,19.294,19.24,27.122,27.702,53.256,52.708,48.284,48.133,47.79,36.132,36.4,50.251,50.244,57.068,56.833
"2005",48.205,47.492,32.75,32.599,24.482,24.579,94.896,95.764,95.2585,95.4715,41.017,41.067,24.428,24.557,63.0197,62.5219,20.103,20.177,58.982,58.969,50.975,50.4,58.167,58.131,74.649,74.6,22.318,22.188,25.707,25.845,55.901,57.503,51.959,51.289,36.685,36.558,76.213,76.092,75.788,52.256,51.963,47.278,23.431,23.658,32.21,23.137,22.802,21.136,21.118,86.208,85.857,84.996,32.046,32.477,40.803,39.294,39.83,36.73,36.692,44.301,25.909,56.208,56.498,43.736,43.211,27.421,22.191,21.965,51.071,50.72,35.414,33.185,33.525,90.072,90.379,23.906,23.525,22.357,23.001,19.174,19.119,26.789,27.516,52.825,52.24,48.127,47.896,47.485,35.849,36.114,50.061,50.064,56.837,56.587
"2004",47.892,47.066,32.448,32.152,24.374,24.458,94.627,95.5695,94.9735,95.2155,40.707,40.831,24.359,24.522,62.8445,62.351,19.936,20.044,58.696,58.684,50.798,50.097,57.885,57.908,74.44,74.491,22.219,22.061,25.613,25.772,55.436,57.23,51.732,51.038,36.604,36.417,76.007,75.886,75.516,52.143,51.741,47.151,23.188,23.576,31.957,22.966,22.575,21.123,21.067,85.951,85.512,84.42,31.926,32.385,40.725,38.786,39.378,36.212,36.387,44.119,25.826,55.901,56.226,43.564,43.016,27.259,22.007,21.841,50.986,50.532,35.329,33.042,33.198,89.864,90.246,23.616,23.28,22.187,22.863,19.002,18.961,26.527,27.339,52.447,51.876,48.031,47.674,47.242,35.581,35.854,49.91,49.874,56.658,56.384
"2003",47.627,46.654,32.208,31.611,24.267,24.372,94.3365,95.3555,94.7155,94.9605,40.468,40.583,24.283,24.465,62.6693,62.182,19.824,19.955,58.381,58.359,50.624,49.782,57.533,57.641,74.182,74.385,22.137,22.001,25.512,25.692,54.92,56.938,51.517,50.765,36.543,36.327,75.809,75.712,75.199,52.065,51.592,46.946,23.037,23.513,31.805,22.79,22.322,21.049,21.037,85.68,84.974,83.739,31.792,32.285,40.648,38.265,38.997,35.71,36.128,43.882,25.781,55.571,55.887,43.348,42.814,27.184,21.809,21.713,50.886,50.385,35.256,32.907,32.806,89.575,90.106,23.436,22.964,22.048,22.726,18.826,18.827,26.219,27.111,52.118,51.526,47.936,47.498,46.942,35.423,35.587,49.76,49.722,56.405,56.13
"2002",47.239,46.243,31.987,31.16,24.177,24.315,94.027,95.137,94.4375,94.7285,40.178,40.32,24.202,24.419,62.5735,62.0849,19.715,19.819,57.979,57.954,50.444,49.483,57.222,57.308,74.042,74.309,22,21.771,25.43,25.61,54.327,56.6,51.333,50.484,36.415,36.139,75.628,75.585,74.969,51.961,51.432,46.813,22.869,23.427,31.625,22.597,22.088,21.005,21.02,85.486,84.38,83.428,31.67,32.16,40.555,37.754,38.599,35.181,35.962,43.697,25.686,55.239,55.471,43.088,42.531,27.076,21.66,21.574,50.813,50.254,35.177,32.716,32.23,89.36,89.933,23.139,22.719,21.915,22.582,18.673,18.624,25.911,26.868,51.57,51.228,47.861,47.302,46.704,35.255,35.362,49.59,49.561,56.175,55.911
"2001",46.844,45.858,31.703,30.822,24.042,24.238,93.7325,94.949,94.192,94.5025,39.926,40.031,24.107,24.344,62.3584,61.9753,19.592,19.675,57.641,57.53,50.287,49.238,56.863,56.917,73.854,74.191,21.891,21.601,25.328,25.483,53.926,56.288,51.077,50.192,36.298,35.956,75.354,75.326,74.658,51.825,51.17,46.609,22.69,23.266,31.486,22.425,21.844,20.98,20.973,85.084,83.837,83.147,31.557,32.068,40.457,37.253,38.14,34.465,35.78,43.473,25.578,54.862,55.033,42.85,42.254,26.963,21.5,21.378,50.733,50.123,35.021,32.572,32.062,89.146,89.777,22.921,22.492,21.796,22.458,18.452,18.457,25.572,26.63,51.192,50.767,47.697,47.031,46.479,35.01,35.107,49.436,49.382,55.9,55.686
"2000",46.34,45.221,31.404,30.407,23.859,24.114,93.422,94.732,93.921,94.2395,39.653,39.682,23.933,24.269,61.9485,61.8174,19.373,19.5,57.294,57.055,50.13,48.99,56.528,56.594,73.669,74.031,21.762,21.474,25.203,25.287,53.548,55.892,50.761,49.835,36.129,35.706,75.007,75.004,74.29,51.652,50.894,46.306,22.455,23.041,31.293,22.212,21.573,20.958,20.886,84.506,83.195,82.749,31.379,31.832,40.32,36.728,37.597,33.898,35.586,43.226,25.459,54.567,54.657,42.573,41.969,26.861,21.294,21.193,50.652,49.948,34.883,32.432,31.916,88.781,89.53,22.675,22.223,21.657,22.298,18.225,18.215,25.114,26.352,50.601,50.26,47.504,46.812,46.202,34.732,34.917,49.198,49.178,55.541,55.402
"1999",45.806,44.619,31.218,30.103,23.712,24.003,93.1415,94.5275,93.6805,93.991,39.478,39.257,23.837,24.186,61.6715,61.7251,19.196,19.336,57,56.757,49.946,48.726,56.212,56.245,73.515,73.935,21.619,21.212,25.098,25.119,53.148,55.532,50.541,49.496,36.003,35.499,74.87,74.851,74.108,51.516,50.661,45.91,22.325,22.879,31.034,21.986,21.256,20.918,20.828,84.145,82.836,82.449,31.213,31.586,40.162,35.916,36.83,33.623,35.418,43.077,25.36,54.28,54.362,42.315,41.74,26.811,21.068,20.982,50.592,49.859,34.746,32.303,31.719,88.448,89.385,22.323,22.075,21.494,22.175,17.966,18.015,24.657,26.086,50.182,49.738,47.372,46.643,45.948,34.482,34.714,49.048,49.03,55.293,55.162
"1998",45.315,44.119,31.028,29.77,23.583,23.911,92.863,94.357,93.465,93.7665,39.183,38.937,23.728,24.132,61.2567,61.5657,19.07,19.192,56.585,56.409,49.772,48.499,55.939,56.01,73.404,73.776,21.477,21.02,24.996,24.977,52.777,55.153,50.329,49.209,35.851,35.333,74.629,74.573,73.808,51.41,50.449,45.501,22.193,22.727,30.876,21.789,21.051,20.823,20.741,83.654,82.528,81.975,31.114,31.45,39.925,35.292,36.167,33.367,35.079,42.79,25.271,53.984,54.031,42.016,41.56,26.761,20.859,20.805,50.537,49.691,34.658,32.189,31.588,88.217,89.211,21.996,21.737,21.396,22.077,17.764,17.816,24.325,25.81,49.703,49.383,47.135,46.376,45.556,34.129,34.548,48.889,48.817,55.011,54.907
"1997",44.752,43.472,30.84,29.329,23.474,23.764,92.406,94.099,93.195,93.549,38.813,38.593,23.642,24.083,60.8074,61.2944,18.955,19.064,55.937,55.831,49.586,48.329,55.644,55.752,73.288,73.491,21.259,20.702,24.924,24.794,52.259,54.683,50.058,48.843,35.667,35.161,74.416,74.367,73.535,51.311,50.236,45.032,22.055,22.597,30.728,21.621,20.873,20.77,20.676,83.14,82.351,81.667,31.044,31.18,39.696,34.459,35.151,32.923,34.476,42.545,25.166,53.475,53.488,41.605,41.298,26.654,20.685,20.619,50.476,49.554,34.536,32.058,NA,87.831,89.085,21.753,21.497,21.283,21.976,17.593,17.579,23.884,25.436,49.249,48.971,46.913,46.215,45.125,33.881,34.387,48.687,48.629,54.785,54.659
"1996",44.268,43.04,30.624,28.932,23.379,23.629,92.1605,93.952,93.035,93.3645,38.507,38.315,23.583,24.048,60.6715,61.1806,18.873,18.962,55.624,55.515,49.394,48.19,55.389,55.535,73.194,73.389,21.036,20.31,24.808,24.611,51.775,54.282,49.74,48.568,35.4,34.827,74.263,74.218,73.293,51.222,50.123,44.773,21.968,22.433,30.584,21.49,20.659,20.689,20.557,82.966,82.205,81.353,30.96,30.881,39.582,34.155,34.726,32.69,34.186,42.343,24.977,53.087,53.153,41.313,41.038,26.55,20.499,20.433,50.423,49.461,34.442,31.948,NA,87.585,88.968,21.463,21.299,21.172,21.891,17.442,17.414,23.564,25.127,48.779,48.574,46.71,46.067,44.8,33.713,34.285,48.603,48.525,54.576,54.464
"1995",43.759,42.523,30.446,28.682,23.282,23.508,91.908,93.8065,92.886,93.1915,38.329,37.981,23.515,23.997,60.4581,60.9915,18.819,18.907,55.173,55.116,49.193,48.069,55.075,55.257,73.082,73.256,20.895,20.056,24.712,24.427,51.316,54.001,49.404,48.306,35.248,34.613,74.145,74.036,73.099,51.169,50.057,44.382,21.926,22.346,30.474,21.383,20.436,20.667,20.439,82.847,81.938,81.061,30.864,30.63,39.464,33.738,34.346,32.345,33.841,42.153,24.86,52.725,52.743,41.167,40.814,26.495,20.313,20.243,50.37,49.383,34.262,31.844,NA,87.311,88.898,21.2,21.144,21.064,21.813,17.285,17.278,23.238,24.883,48.331,48.092,46.5,45.863,44.515,33.459,34.195,48.463,48.362,54.392,54.228
"1994",43.132,41.971,30.259,28.501,23.186,23.341,91.637,93.6605,92.7205,93.04,38.065,37.423,23.446,23.945,60.3547,60.8289,18.701,18.759,54.626,54.568,48.874,47.784,54.858,55.024,72.966,73.168,20.73,19.648,24.575,24.151,50.829,53.734,48.979,47.966,35.009,34.304,73.957,73.885,72.773,51.048,49.901,43.995,21.843,22.162,30.388,21.273,20.303,20.576,20.275,82.717,81.499,80.323,30.71,30.322,39.286,33.029,33.75,31.546,33.304,41.793,24.657,52.37,52.412,40.819,40.547,26.354,20.183,20.095,50.315,49.266,34.097,31.74,NA,86.932,88.779,20.923,21.014,20.954,21.732,17.174,17.158,22.647,24.429,47.886,47.553,46.328,45.66,44.216,33.239,34.126,48.319,48.186,54.164,53.954
"1993",42.661,41.431,30.096,28.345,23.086,23.155,91.407,93.509,92.584,92.8955,37.846,37.058,23.337,23.866,60.2092,60.7482,18.526,18.533,54.181,54.068,48.614,47.597,54.567,54.744,72.872,73.088,20.66,19.528,24.5,24.013,50.434,53.57,48.526,47.738,34.878,34.132,73.91,73.726,72.542,50.965,49.743,43.747,21.789,22.091,30.284,21.194,20.198,20.503,20.218,82.596,81.25,80.065,30.656,30.228,39.14,32.642,33.449,31.168,33.1,41.443,24.526,52.059,52.098,40.554,40.279,26.246,20.053,19.929,50.282,49.178,33.928,31.646,NA,86.53,88.672,20.751,20.896,20.845,21.657,17.04,17.03,22.241,24.064,47.469,47.037,46.183,45.478,43.93,32.985,33.999,48.139,48.001,53.944,53.649
"1992",41.985,40.541,29.939,28.178,22.884,22.957,91.121,93.3165,92.409,92.661,37.494,36.521,23.23,23.758,59.8432,60.5581,18.008,18.111,53.717,53.564,48.108,47.382,54.123,54.341,72.641,72.694,20.576,19.256,24.33,23.705,49.95,53.221,48.121,47.303,34.735,33.93,73.831,72.987,71.695,50.824,49.455,43.258,21.705,21.994,30.108,21.108,20.034,20.36,20.075,81.968,80.287,79.12,30.531,30.046,38.927,31.652,32.647,30.288,32.468,41.026,24.38,51.595,51.593,40.242,40.026,26.146,19.89,19.727,50.217,49.092,33.601,31.566,NA,85.981,88.532,20.487,20.718,20.763,21.579,16.954,16.958,21.487,23.398,46.95,46.443,45.961,45.231,43.326,32.623,33.827,47.919,47.797,53.668,53.353
"1991",41.425,39.798,29.809,28.047,22.685,22.76,90.8065,93.125,92.2265,92.378,37.101,35.977,23.13,23.681,59.5688,60.3731,17.43,17.634,53.261,52.96,47.501,47.098,53.799,54.028,72.362,72.33,20.362,18.913,24.132,23.386,49.443,52.77,47.791,46.917,34.506,33.635,73.048,72.592,71.288,50.634,49.244,42.82,21.61,21.782,29.948,21.004,19.923,20.276,19.84,81.481,79.586,78.592,30.293,29.792,38.649,30.841,31.856,29.35,31.903,40.503,24.09,51.187,51.023,39.896,39.647,25.85,19.749,19.543,50.159,49.021,33.317,31.489,NA,85.59,88.346,20.271,20.586,20.685,21.52,16.886,16.891,20.852,22.819,46.323,45.782,45.768,45.053,42.987,32.382,33.671,47.712,47.617,53.417,53.037
"1990",40.961,39.366,29.731,27.973,22.609,22.617,90.6175,93,92.136,92.2485,36.883,35.82,23.058,23.603,59.3436,60.1591,17.126,17.396,52.942,52.544,47.212,46.883,53.554,53.816,72.131,72.09,20.293,18.777,23.972,23.172,49.061,52.474,47.5,46.653,34.33,33.497,72.632,72.287,70.934,50.53,49.085,42.614,21.583,21.717,29.84,20.94,19.864,20.101,19.733,81.044,79.081,78.208,30.149,29.623,38.535,30.356,31.385,28.915,31.508,40.114,23.996,50.961,50.681,39.704,39.409,25.72,19.665,19.437,50.087,48.966,33.173,31.407,NA,85.386,88.214,20.176,20.462,20.613,21.462,16.848,16.843,20.443,22.346,45.948,45.286,45.622,44.893,42.683,32.164,33.562,47.507,47.436,53.16,52.814
"1989",40.454,39.071,29.662,27.895,22.585,22.597,90.4375,92.861,92.031,92.115,36.43,35.363,22.968,23.539,59.1083,59.6936,16.758,17.216,52.746,52.304,47.011,46.697,53.263,53.533,71.856,71.65,20.232,18.663,23.815,22.922,48.672,52.181,47.286,46.332,34.052,33.323,71.777,71.826,70.49,50.454,48.957,42.258,21.539,21.626,29.654,20.838,19.698,19.949,19.588,80.286,78.566,77.786,29.949,29.452,38.346,29.546,30.701,28.118,30.92,39.722,23.834,50.759,50.411,39.525,39.14,25.604,19.535,19.277,49.94,48.839,33.092,31.286,NA,85.084,88.112,20.022,20.358,20.494,21.391,16.768,16.762,19.952,21.834,45.628,44.851,45.408,44.722,42.347,32.017,33.464,47.316,47.282,52.961,52.656
"1988",40.188,38.813,29.6,27.828,22.547,22.553,90.2685,92.7025,91.9135,91.981,36.266,35.143,22.848,23.463,58.9628,59.4193,16.454,16.988,52.505,52.008,46.874,46.561,53.033,53.346,71.744,71.482,20.143,18.43,23.738,22.767,48.398,51.875,47.102,45.814,33.759,32.95,71.503,71.635,70.268,50.35,48.764,42.046,21.455,21.614,29.464,20.711,19.563,19.885,19.401,79.991,78.281,77.644,29.666,29.218,38.193,28.89,29.991,27.704,30.283,39.468,23.649,50.547,50.188,39.385,38.998,25.487,19.397,19.122,49.677,48.553,33.021,NA,NA,84.759,87.994,19.841,20.248,20.363,21.316,16.649,16.635,19.667,21.414,45.258,44.269,45.323,44.563,42.243,31.881,33.407,47.091,47.057,52.693,52.409
"1987",39.824,38.537,29.544,27.783,22.508,22.533,90.1205,92.5715,91.818,91.868,36.176,35.034,22.786,23.424,58.8979,59.318,16.321,16.833,52.316,51.811,46.771,46.474,52.846,53.175,71.653,71.37,20.098,18.385,23.694,22.662,48.183,51.697,46.906,45.459,33.56,32.749,71.357,71.488,70.127,50.264,48.619,41.965,21.402,21.523,29.314,20.589,19.372,19.813,19.304,79.843,78.091,77.482,29.456,29.042,38.096,28.607,29.753,27.499,30.083,39.263,23.536,50.321,49.904,39.25,38.858,25.385,19.27,18.957,49.484,48.321,32.903,NA,NA,84.357,87.838,19.711,20.161,20.175,21.207,16.528,16.489,19.439,21.172,44.94,43.897,45.181,44.421,42.098,31.758,33.32,46.927,46.875,52.491,52.205
"1986",39.24,38.251,29.475,27.723,22.454,22.504,89.9635,92.4195,91.71,91.74,36.013,34.776,22.685,23.363,58.6017,58.9993,16.01,16.579,52.006,51.526,46.578,46.175,52.622,52.959,71.1990000000001,70.91,20.047,18.232,23.647,22.489,47.727,51.507,46.657,45.125,33.193,32.444,70.744,71.003,69.641,50.159,48.429,41.693,21.353,21.407,29.133,20.418,19.135,19.615,19.09,79.153,77.441,76.866,29.146,28.765,37.862,28.034,29.186,26.716,29.291,38.863,23.316,50.089,49.617,38.983,38.592,25.229,19.071,18.624,49.232,47.929,32.756,NA,NA,83.976,87.716,19.473,19.868,19.838,20.977,16.322,16.305,19.053,20.687,44.531,43.386,44.939,44.058,41.74,31.562,33.146,46.591,46.559,52.153,51.903
"1985",38.729,37.903,29.419,27.671,22.401,22.458,89.8,92.271,91.5995,91.599,35.889,34.523,22.537,23.297,58.2928,58.7232,15.732,16.405,51.748,51.325,46.389,45.773,52.399,52.691,70.8960000000001,70.683,20.006,18.166,23.528,22.317,47.266,51.26,46.437,44.788,32.876,32.12,70.318,70.633,69.296,50.056,48.271,41.412,21.316,21.34,28.919,20.225,18.86,19.521,18.69,78.458,77.002,76.349,28.735,28.517,37.653,27.627,28.811,26.032,28.69,38.472,23.117,49.862,49.305,38.677,38.206,25.124,18.845,18.311,48.962,47.642,32.616,NA,NA,83.646,87.62,19.196,19.543,19.514,20.648,15.992,16.06,18.662,20.264,43.999,42.836,44.685,43.867,41.415,31.429,33.023,46.325,46.224,51.849,51.629
"1984",38.247,37.584,29.344,27.609,22.332,22.402,89.643,92.113,91.484,91.4695,35.783,34.213,22.405,23.224,58.0249,58.4764,15.51,16.121,51.378,51.057,46.221,45.259,52.2,52.443,70.6300000000001,70.528,19.983,18.109,23.355,22.118,46.773,51.014,46.271,44.428,32.654,31.872,69.978,70.446,69.011,49.94,47.895,41.205,21.255,21.262,28.753,20.086,18.503,19.302,18.183,77.756,76.541,76.008,28.251,28.225,37.402,27.132,28.26,25.289,27.983,38.032,22.912,49.639,48.936,38.426,37.806,25.037,18.669,18.012,48.677,47.318,32.486,NA,NA,83.445,87.517,18.977,NA,19.219,20.38,15.7,15.859,18.289,19.77,43.61,42.248,44.623,43.76,41.311,31.308,32.969,46.057,45.966,51.507,51.36
"1983",37.727,37.28,29.25,27.538,22.279,22.356,89.504,91.991,91.3735,91.346,35.755,34.071,22.262,23.149,57.9019,58.3668,15.187,15.879,51.02,50.821,46.071,44.901,51.948,52.146,70.5320000000001,70.43,19.945,17.961,23.226,21.985,46.376,50.901,45.977,44.114,32.542,31.723,69.794,70.319,68.811,49.812,47.495,41.093,21.194,21.202,28.563,19.925,18.082,19.128,17.992,77.551,76.263,75.845,27.97,28.009,37.279,26.879,27.958,24.998,27.689,37.675,22.744,49.39,48.643,38.351,37.661,24.965,18.451,17.748,48.407,46.956,32.397,NA,NA,83.256,87.439,18.719,NA,18.973,20.231,15.432,15.626,18.087,19.501,43.282,41.761,44.563,43.671,41.207,31.233,32.896,45.88,45.802,51.256,51.181
"1982",37.246,36.992,29.166,27.462,22.195,22.292,89.3545,91.8665,91.255,91.198,35.621,33.802,22.18,23.071,57.7811,58.1025,14.859,15.705,50.63,50.521,45.806,44.607,51.702,51.842,70.373,70.143,19.907,17.898,23.041,21.791,45.946,50.693,45.512,43.752,32.283,31.39,69.453,69.972,68.41,49.687,47.228,40.984,21.15,21.139,28.371,19.734,17.842,18.841,17.809,77.05,75.656,75.488,27.768,27.804,37.135,26.591,27.66,24.698,27.463,37.304,22.502,49.095,48.268,38.03,37.318,24.829,18.248,17.523,48.087,46.614,32.201,NA,NA,82.856,87.381,18.425,NA,18.671,20.023,15.083,15.336,17.811,19.187,42.926,41.343,44.37,43.404,40.943,31.047,32.729,45.613,45.599,51.01,50.948
"1981",36.794,36.637,29.049,27.363,22.041,22.175,89.151,91.706,91.0555,90.943,35.377,33.465,22.107,22.975,57.4239,57.6858,14.462,15.371,50.029,50.158,45.582,44.231,51.409,51.528,70.0820000000001,69.701,19.795,17.746,22.794,21.508,45.474,50.436,44.927,43.289,31.915,30.92,68.846,69.499,67.83,49.46,47.053,40.732,21.078,21.057,28.164,19.369,17.434,18.633,17.311,76.3,74.742,74.688,27.54,27.537,36.839,25.949,27.064,24.041,27.08,36.927,22.183,48.654,47.715,37.48,36.866,24.659,17.933,17.106,47.744,46.088,31.836,NA,NA,82.317,87.301,17.991,NA,18.221,19.71,14.668,15.031,17.379,18.671,42.454,40.88,44.07,43.08,40.564,30.818,32.528,45.288,45.299,50.662,50.551
"1980",36.283,36.286,28.949,27.263,21.932,22.076,88.995,91.5765,90.919,90.7975,35.212,33.194,22.044,22.902,57.2348,57.5623,14.047,15.106,49.58,49.887,45.411,43.798,51.093,51.244,69.911,69.391,19.683,17.65,22.566,21.279,45.202,50.155,44.671,42.875,31.683,30.589,68.377,69.149,67.375,49.332,46.955,40.598,21.001,20.878,27.975,19.147,17.057,18.425,16.995,75.918,74.201,73.844,27.328,27.354,36.686,25.462,26.564,23.712,26.855,36.452,21.88,48.247,47.34,37.119,36.522,24.499,17.652,16.726,47.452,45.721,31.55,NA,NA,82.097,87.247,17.591,NA,17.728,19.345,14.279,14.72,16.935,18.119,42.161,40.611,43.84,42.858,40.316,30.508,32.3,45.142,45.137,50.45,50.28
