,ash.20,ash.depth,maple.20,maple.depth,white.20,white.depth,litu.20,litu.depth,red.20,red.depth,fagr.20,fagr.depth,sass.20,sass.depth
1935,1.089241299,9,1.084014906,29,1.197069845,12,1.207816356,13,1.07337946,6,0.951656402,8,,
1936,0.591262334,9,0.620287738,29,0.807200732,12,0.412987545,13,0.757923501,6,0.877547128,8,,
1937,0.904500077,9,1.417380006,29,1.31309841,12,1.193766223,13,0.972485384,6,1.30694142,8,,
1938,1.214747669,9,1.448833288,29,1.315245715,12,1.510374348,13,1.165010206,6,1.695927522,8,,
1939,1.196187805,9,0.994620485,29,1.157234146,12,1.147588978,13,1.158159712,6,0.838889215,8,,
1940,1.119236422,9,0.809339815,29,0.934985633,12,0.859275987,13,1.018737736,6,0.821925648,8,,
1941,0.877555267,9,0.93020398,29,0.844896137,12,0.695394549,13,1.005487162,6,0.770334988,8,,
1942,0.976991476,9,1.201652614,29,1.100853831,12,0.949697235,13,1.194056734,7,1.194842152,8,,
1943,1.027266346,9,0.635376644,31,0.946887158,12,0.91168914,13,0.954645066,7,0.897549131,9,,
1944,0.805739147,9,0.529821974,31,0.717166645,12,0.544984303,13,0.814567578,7,0.613657702,10,,
1945,0.963344796,9,1.658201073,31,0.935949477,12,0.874306216,13,0.983667674,7,0.946859674,10,,
1946,0.969646444,9,0.861352006,32,1.103226924,12,0.947131627,13,0.942263937,7,0.884806344,10,,
1947,1.063739654,9,1.114046636,32,1.051431054,12,0.993353725,13,1.025041063,7,1.13197546,10,,
1948,0.848959391,9,1.103455675,32,1.138461891,12,1.043486228,13,0.944060518,7,1.293995369,10,,
1949,1.024963418,9,1.084709052,32,1.176922476,12,1.362622575,13,1.007385856,7,1.062464567,11,,
1950,1.149952514,9,1.006710015,34,1.035565147,12,1.318671045,14,1.078881512,7,1.247446528,11,,
1951,1.259557598,9,1.089060239,34,1.071451785,12,1.403308839,14,1.177367924,7,1.519451056,11,,
1952,1.161187781,9,0.84515391,34,0.933313441,12,1.093675404,15,0.963065555,7,0.86769365,11,,
1953,0.892729142,9,0.80093089,34,0.762924746,12,0.783635138,15,0.927621262,7,0.656493267,11,,
1954,0.935129988,9,1.079678011,34,0.802113977,12,0.694474983,15,0.960133728,7,0.843533489,11,,
1955,0.928832872,9,1.18132358,34,1.069768655,12,0.651403287,15,0.88845995,7,1.20088577,11,,
1956,0.976308505,9,0.849823443,36,1.070212132,12,0.815507699,15,1.020415674,7,0.944474091,11,,
1957,1.094827601,9,0.950322466,36,1.096216208,12,1.116727143,15,1.008660864,7,0.845916912,11,,
