CoreID,TreeID,plot.id,Site,tree.number,species,canopy.class,live.dead,dbh,stems,total.cores,core.id,pith.present,pith.yr,inner.present,inner.measured,outer.measured,bark.present,inner.dated,outer.dated,dated,Notes,zombie
ACB023A,ACB023,ACB,Austin Cary FL,23,PIPA,C,LIVE,32.6,1,2,A,,,,,,,,,,,
ACB023B,ACB023,ACB,Austin Cary FL,23,PIPA,C,LIVE,32.6,1,2,B,,,,,,,,,,,
ACB024A,ACB024,ACB,Austin Cary FL,24,PIPA,C,LIVE,32.7,1,2,A,,,,,,,,,,,
ACB024B,ACB024,ACB,Austin Cary FL,24,PIPA,C,LIVE,32.7,1,2,B,,,,,,,,,,,
ACB025A,ACB025,ACB,Austin Cary FL,25,PIPA,C,LIVE,13.6,1,2,A,,,,,,,,,,,
ACB025B,ACB025,ACB,Austin Cary FL,25,PIPA,C,LIVE,13.6,1,2,B,,,,,,,,,,,
ACB026A,ACB026,ACB,Austin Cary FL,26,PIPA,C,LIVE,35.5,1,2,A,,,,,,,,,,,
ACB026B,ACB026,ACB,Austin Cary FL,26,PIPA,C,LIVE,35.5,1,2,B,,,,,,,,,,,
ACB027A,ACB027,ACB,Austin Cary FL,27,PIPA,C,LIVE,33.8,1,2,A,,,,,,,,,,,
ACB027B,ACB027,ACB,Austin Cary FL,27,PIPA,C,LIVE,33.8,1,2,B,,,,,,,,,,,
ACB028A,ACB028,ACB,Austin Cary FL,28,PIPA,C,LIVE,25.5,1,2,A,,,,,,,,,,,
ACB028B,ACB028,ACB,Austin Cary FL,28,PIPA,C,LIVE,25.5,1,2,B,,,,,,,,,,,
ACB029A,ACB029,ACB,Austin Cary FL,29,PIPA,C,LIVE,20.8,1,2,A,,,,,,,,,,,
ACB029B,ACB029,ACB,Austin Cary FL,29,PIPA,C,LIVE,20.8,1,2,B,,,,,,,,,,,
ACB030A,ACB030,ACB,Austin Cary FL,30,PIPA,C,LIVE,28.6,1,2,A,,,,,,,,,,,
ACB030B,ACB030,ACB,Austin Cary FL,30,PIPA,C,LIVE,28.6,1,2,B,,,,,,,,,,,
ACB031A,ACB031,ACB,Austin Cary FL,31,PIPA,C,LIVE,28.5,1,2,A,,,,,,,,,,,
ACB031B,ACB031,ACB,Austin Cary FL,31,PIPA,C,LIVE,28.5,1,2,B,,,,,,,,,,,
ACC002A,ACC002,ACC,Austin Cary FL,2,PIPA,C,LIVE,37.7,1,2,A,,,,,,,,,,,
ACC002B,ACC002,ACC,Austin Cary FL,2,PIPA,C,LIVE,37.7,1,2,B,,,,,,,,,,,
ACC003A,ACC003,ACC,Austin Cary FL,3,PIPA,C,LIVE,27.6,1,2,A,,,,,,,,,,,
ACC003B,ACC003,ACC,Austin Cary FL,3,PIPA,C,LIVE,27.6,1,2,B,,,,,,,,,,,
ACC004A,ACC004,ACC,Austin Cary FL,4,PIPA,C,LIVE,35.3,1,2,A,,,,,,,,,,,
ACC004B,ACC004,ACC,Austin Cary FL,4,PIPA,C,LIVE,35.3,1,2,B,,,,,,,,,,,
ACC005A,ACC005,ACC,Austin Cary FL,5,PIPA,C,LIVE,29.4,1,2,A,,,,,,,,,,,
ACC005B,ACC005,ACC,Austin Cary FL,5,PIPA,C,LIVE,29.4,1,2,B,,,,,,,,,,,
ACC006A,ACC006,ACC,Austin Cary FL,6,PIPA,C,LIVE,30.5,1,2,A,,,,,,,,,,,
ACC006B,ACC006,ACC,Austin Cary FL,6,PIPA,C,LIVE,30.5,1,2,B,,,,,,,,,,,
ACC007A,ACC007,ACC,Austin Cary FL,7,PIPA,C,LIVE,26.3,1,2,A,,,,,,,,,,,
ACC007B,ACC007,ACC,Austin Cary FL,7,PIPA,C,LIVE,26.3,1,2,B,,,,,,,,,,,
ACC008A,ACC008,ACC,Austin Cary FL,8,PIPA,C,LIVE,23.5,1,2,A,,,,,,,,,,,
ACC008B,ACC008,ACC,Austin Cary FL,8,PIPA,C,LIVE,23.5,1,2,B,,,,,,,,,,,
ACC009A,ACC009,ACC,Austin Cary FL,9,PIPA,C,LIVE,28.5,1,2,A,,,,,,,,,,,
ACC009B,ACC009,ACC,Austin Cary FL,9,PIPA,C,LIVE,28.5,1,2,B,,,,,,,,,,,
ACC010A,ACC010,ACC,Austin Cary FL,10,PIPA,C,LIVE,27.3,1,2,A,,,,,,,,,,,
