"TreeID","PlotID","site","tree","species","canopy.class","live.dead","dbh","stems","total.cores","BA.cm2","BA.m2.ha","dens.stem.ha","notes","distance","azimuth","plot","Dated"
"DHA023","DHA","Duke Hardwood",23,"QUBI","C","LIVE",66.4,1,2,3462.8,2.7556,7.957747155,NA,17.52,136,"A",NA
"DHA024","DHA","Duke Hardwood",24,"ELM",NA,"DEAD",22.2,1,2,387.1,0.308025,7.957747155,NA,19.37,78,"A",NA
"DHA025","DHA","Duke Hardwood",25,"CAOV","D","LIVE",45.8,1,2,1647.5,1.311025,7.957747155,NA,19.93,45,"A",NA
"DHA026","DHA","Duke Hardwood",26,"OAK",NA,"DEAD",29.4,1,0,678.9,0.540225,7.957747155,"no core",16.97,18,"A",NA
"DHA027","DHA","Duke Hardwood",27,"FRAM","C","LIVE",37.9,1,2,1128.2,0.89775625,7.957747155,NA,18.95,12,"A",NA
"DHA028","DHA","Duke Hardwood",28,"QUPH","C","LIVE",45.6,1,2,1633.1,1.2996,7.957747155,NA,19.89,355,"A",NA
"DHA029","DHA","Duke Hardwood",29,"QUPH","I","LIVE",33.1,1,2,860.5,0.68475625,7.957747155,NA,19.9,323,"A",NA
"DHA030","DHA","Duke Hardwood",30,"ULAL","I","LIVE",30.3,1,2,721.1,0.57380625,7.957747155,NA,13.89,325,"A",NA
"DHA031","DHA","Duke Hardwood",31,"QUBI","I","LIVE",34.4,1,2,929.4,0.7396,7.957747155,NA,14.22,289,"A",NA
"DHA032","DHA","Duke Hardwood",32,"CAOV","C","LIVE",41.4,1,2,1346.1,1.071225,7.957747155,NA,16.88,266,"A",NA
"DHA033","DHA","Duke Hardwood",33,"ACRU","C","LIVE",31,1,2,754.8,0.600625,7.957747155,"VAR. TRILOBA",19.92,237,"A",NA
"DHA034","DHA","Duke Hardwood",34,"ULAL","C","LIVE",24.5,1,2,471.4,0.37515625,7.957747155,NA,15.02,239,"A",NA
"DHA035","DHA","Duke Hardwood",35,"CAOV","D","LIVE",38.6,1,2,1170.2,0.931225,7.957747155,NA,14.05,215,"A",NA
"DHA036","DHA","Duke Hardwood",36,"ULAL","C","LIVE",20.1,1,2,317.3,0.25250625,7.957747155,NA,16.7,211,"A",NA
"DHA037","DHA","Duke Hardwood",37,"ACRU","S","LIVE",23.5,1,2,433.7,0.34515625,7.957747155,"VAR. TRILOBA, would be C if upright",19.21,198,"A",NA
"DHA038","DHA","Duke Hardwood",38,"NYSY","I","LIVE",24.9,1,2,487,0.38750625,7.957747155,NA,19.61,177,"A",NA
"DHA039","DHA","Duke Hardwood",39,"ULAL","C","LIVE",26.9,1,2,568.3,0.45225625,7.957747155,NA,13.82,179,"A",NA
"DHA099","DHA","Duke Hardwood",99,"LIST","C","LIVE",32.4,1,2,824.5,0.6561,7.957747155,NA,16.49,138,"A",NA
"DHB001","DHB","Duke Hardwood",1,"QUVE","D","LIVE",61.5,1,2,2970.6,2.36390625,7.957747155,NA,5.29,265,"B",NA
"DHB002","DHB","Duke Hardwood",2,"LITU","I","LIVE",19.9,1,2,311,0.585813609,18.83490451,NA,8.74,245,"B",NA
"DHB003","DHB","Duke Hardwood",3,"LITU","S","LIVE",12.2,1,2,116.9,0.220177515,18.83490451,NA,6.1,250,"B",NA
"DHB004","DHB","Duke Hardwood",4,"NYSY","S","LIVE",11.9,1,2,111.2,0.209482249,18.83490451,NA,3.97,229,"B",NA
"DHB005","DHB","Duke Hardwood",5,"LITU","D","LIVE",48.8,1,2,1870.4,1.4884,7.957747155,NA,7.53,230,"B",NA
"DHB006","DHB","Duke Hardwood",6,"LITU","C","LIVE",39.6,1,2,1231.6,0.9801,7.957747155,NA,11.78,198,"B",NA
"DHB007","DHB","Duke Hardwood",7,"LITU","I","LIVE",30.8,1,2,745.1,0.5929,7.957747155,NA,11.78,180,"B",NA
"DHB008","DHB","Duke Hardwood",8,"LITU","C","LIVE",43.9,1,2,1513.6,1.20450625,7.957747155,NA,8.13,178,"B",NA
"DHB009","DHB","Duke Hardwood",9,"CATO","D","LIVE",52.6,1,2,2173,1.729225,7.957747155,"CENTER WOUND",3.26,160,"B",NA
"DHB010","DHB","Duke Hardwood",10,"LITU","I","LIVE",30.8,1,2,745.1,0.5929,7.957747155,NA,12,150,"B",NA
"DHB011","DHB","Duke Hardwood",11,"LITU","S","LIVE",16.3,1,2,208.7,0.393032544,18.83490451,NA,12.55,138,"B",NA
"DHB012","DHB","Duke Hardwood",12,"LITU","C","LIVE",41.7,1,2,1365.7,1.08680625,7.957747155,NA,11.65,110,"B",NA
"DHB013","DHB","Duke Hardwood",13,"ULAL","S","LIVE",20.5,1,2,330.1,0.26265625,7.957747155,NA,1.48,57,"B",NA
"DHB014","DHB","Duke Hardwood",14,"NYSY","S","LIVE",11.8,1,2,109.4,0.205976331,18.83490451,NA,3.02,44,"B",NA
"DHB015","DHB","Duke Hardwood",15,"CATO","D","LIVE",43.3,1,1,1472.5,1.17180625,7.957747155,NA,7.65,16,"B",NA
"DHB016","DHB","Duke Hardwood",16,"CAGL","C","LIVE",62.9,1,2,3107.4,2.47275625,7.957747155,NA,7.1,321,"B",NA
"DHB017","DHB","Duke Hardwood",17,"CAGL","C","LIVE",40.5,1,1,1288.2,1.02515625,7.957747155,NA,8.56,321,"B",NA
"DHB018","DHB","Duke Hardwood",18,"CATO","C","LIVE",73.3,1,2,4219.9,3.35805625,7.957747155,NA,11.69,313,"B",NA
"DHB019","DHB","Duke Hardwood",19,"QUAL","I","LIVE",20,1,2,314.2,0.25,7.957747155,NA,11.75,306,"B",NA
"DHB020","DHB","Duke Hardwood",20,"LITU","C","LIVE",32.4,1,2,824.5,0.6561,7.957747155,NA,18.99,264,"B",NA
"DHB021","DHB","Duke Hardwood",21,"LITU","C","LIVE",47.9,1,2,1802,1.43400625,7.957747155,NA,17.97,235,"B",NA
"DHB022","DHB","Duke Hardwood",22,"CAOV","I","LIVE",31,1,2,754.8,0.600625,7.957747155,NA,15.18,239,"B",NA
"DHB023","DHB","Duke Hardwood",23,"LITU","C","LIVE",36.2,1,2,1029.2,0.819025,7.957747155,NA,16.18,200,"B",NA
"DHB024","DHB","Duke Hardwood",24,"LITU","C","LIVE",33.6,1,2,886.7,0.7056,7.957747155,NA,16.59,184,"B",NA
"DHB025","DHB","Duke Hardwood",25,"NYSY","I","LIVE",29.6,1,2,688.1,0.5476,7.957747155,NA,17.21,170,"B",NA
"DHB026","DHB","Duke Hardwood",26,"LITU","C","LIVE",38.3,1,2,1152.1,0.91680625,7.957747155,NA,16.83,134,"B",NA
"DHB027","DHB","Duke Hardwood",27,"LITU","C","LIVE",46.8,1,2,1720.2,1.3689,7.957747155,NA,14.38,131,"B",NA
"DHB028","DHB","Duke Hardwood",28,"LITU","C","LIVE",46.2,1,2,1676.4,1.334025,7.957747155,NA,18.84,108,"B",NA
"DHB029","DHB","Duke Hardwood",29,"LITU","C","LIVE",28.5,1,2,637.9,0.50765625,7.957747155,NA,17.17,108,"B",NA
"DHB030","DHB","Duke Hardwood",30,"LITU","C","LIVE",35.4,1,1,984.2,0.783225,7.957747155,"split stem, funky, took pics",18.65,54,"B",NA
"DHB031","DHB","Duke Hardwood",31,"CAGL","D","LIVE",63.8,1,2,3196.9,2.544025,7.957747155,"has a tree fall scar",15.82,63,"B",NA
"DHB032","DHB","Duke Hardwood",32,"CAGL","C","LIVE",42.6,1,2,1425.3,1.134225,7.957747155,NA,14.67,33,"B",NA
"DHB033","DHB","Duke Hardwood",33,"LITU","I","LIVE",23.4,1,2,430.1,0.342225,7.957747155,NA,18.68,14,"B",NA
"DHB034","DHB","Duke Hardwood",34,"LIST","I","LIVE",24.3,1,2,463.8,0.36905625,7.957747155,NA,14.1,331,"B",NA
