"","MMA","MMB","MMC"
"1948",0.131413253651197,0.171875356646366,0.0948720300135797
"1947",0.141213704384779,0.163962052232308,0.095000063813826
"1946",0.116636617469511,0.141270604373942,0.102984949573878
"1945",0.128641878714102,0.122792873203445,0.0911481172325299
"1944",0.103515840329431,0.0840831819256973,0.0653350454006194
"1943",0.116637292923447,0.12799269132227,0.0935911362514288
"1942",0.127634318674256,0.142377095877082,0.114236585180813
"1941",0.110423330609564,0.0878001204277923,0.0945909589782366
"1940",0.118329305710304,0.110504159282129,0.0984799975034543
"1939",0.13823272629745,0.147773769794499,0.115972590148128
"1938",0.147907967590958,0.161574740474836,0.131077774211448
"1937",0.128836486723877,0.135354901230541,0.117630534025905
"1936",0.0877116976144539,0.0681409198248701,0.0660566567858183
"1935",0.124945972993134,0.1197554339861,0.0966821075135051
"1934",0.112294830100981,0.104539957468458,0.0616821481218279
"1933",0.0899505168151795,0.079629734885069,0.0403400025512397
"1932",0.107293862346518,0.10259279470791,0.0543311400279607
"1931",0.088709816817226,0.0788044463964523,0.0520067904558204
"1930",0.0929346194848448,0.0799983660783934,0.0724544423984765
"1929",0.10707735209049,0.0995408045990949,0.0764707075717652
"1928",0.115728033837795,0.105336114985478,0.0778817494443538
"1927",0.10276641569174,0.10076098920321,0.0946219640834576
"1926",0.094580621049392,0.0833429286910217,0.0758957077690341
"1925",0.0791977529807197,0.0812665734947957,0.0631283289903619
"1924",0.0820308018897919,0.0927522811647605,0.0723413343327297
"1923",0.0740239350041576,0.0681136088206502,0.0910747313630642
"1922",0.0730309142307366,0.0631629347711857,0.0919710131161033
"1921",0.0640789585379831,0.0547480260577283,0.095876933855763
"1920",0.0703134610030127,0.057730251044418,0.0877130733520688
"1919",0.0569343486351843,0.0416516639401082,0.0955817622152781
"1918",0.0566069717559947,0.0450427736824502,0.102254715305218
"1917",0.0693465885237341,0.0521830196027759,0.134066791258135
"1916",0.0732845346660591,0.060754724563438,0.127520162210832
"1915",0.0748988587541595,0.0590212888503436,0.0981374831454622
"1914",0.0509543685147378,0.029798957378953,0.0989683062378233
"1913",0.0614864990455297,0.0358375757489141,0.105282983294418
"1912",0.0737323919941537,0.0562178255346686,0.110611776658651
"1911",0.0609799468616239,0.0343026626515944,0.106935367942011
"1910",0.0970675239558583,0.0350114279922308,0.0975010492879709
"1909",0.0946038895613703,0.0366335561425659,0.0946998037281945
"1908",0.0926885499972092,0.0361152422759897,0.091848564153773
"1907",0.0909426796661383,0.0279555852255941,0.0874384015108027
"1906",0.0882976016719201,0.0280618801971751,0.0859073829480921
"1905",0.0876056159870564,0.024744405541536,0.0845304853148678
