all	fir	pine	spruce
1863	47.1447191605299	18.9627418490313	5.65668336347777	22.5252939480209
1864	49.1556423206559	18.6260335921349	4.99537897118939	25.5342297573315
1865	60.4917897875729	24.6854007740911	6.96150158133378	28.844887432148
1866	60.3405439864341	25.7611288989402	6.36112632640673	28.2182887610872
1867	65.4983430947098	24.3404058633802	6.28940724156747	34.8685299897621
1868	57.0484663430003	18.5139376349755	4.60806605073918	33.9264626572856
1869	65.7337211135402	20.2099586678802	6.16369069458107	39.3600717510788
1870	58.2634976226203	18.3381645661106	5.32454052452321	34.6007925319865
1871	62.854224971033	22.1608463559369	5.71733043531024	34.9760481797858
1872	61.7772795496041	23.5476445713232	5.88206573783816	32.3475692404428
1873	67.5314935779724	22.5659150112826	5.78240585424351	39.1831727124463
1874	55.6870114963922	22.8152036090145	4.4085716389677	28.46323624841
1875	53.8683719341815	18.8641529059502	4.36021370395983	30.6440053242714
1876	61.9495328920044	21.7330260280245	4.55658190374068	35.6599249602392
1877	57.8845663032096	25.4450122600235	6.08313141023407	26.3564226329521
1878	46.1280676577441	18.6928441374841	4.44196673328627	22.9932567869738
1879	44.4650888728969	22.7567508187852	4.55805837312588	17.1502796809858
1880	43.3889395145802	25.105847302371	4.81743291296871	13.4656592992405
1881	59.2432761834269	29.8202241746233	6.45163244181288	22.9714195669907
1882	46.4509241117566	26.3226911224122	5.19060480644828	14.9376281828962
1883	44.0505414625481	22.3441997618797	4.53573884344048	17.1706028572279
1884	51.4552470842398	25.3081272731034	5.0339837918266	21.1131360193098
1885	55.6046575720762	25.1408756157238	5.80787202168291	24.6559099346695
1886	42.6875491373287	18.9916888877244	3.84026165313822	19.855598596466
1887	39.8101822195298	19.9326122005527	3.77235783651262	16.1052121824644
1888	48.8736055900114	22.5204522707726	4.09239064652237	22.2607626727165
1889	39.7583805309577	19.1690321069974	3.2429692451781	17.3463791787823
1890	41.5008516014535	26.6217534477525	3.95357292713989	10.9255252265611
1891	45.1388612260404	24.2027692140227	5.13280774372807	15.8032842682896
1892	47.1890031433965	24.1339623142381	4.77043615786171	18.2846046712967
1893	48.5536737869234	26.7980941997277	4.95607761328287	16.7995019739128
1894	59.4415205271214	29.5823215459037	5.82940422044569	24.0297947607721
1895	55.5456031695065	25.8901765949985	5.40453235378797	24.25089422072
1896	60.1320417654108	29.5238134907394	5.82218433297237	24.786043941699
1897	69.9648714157084	31.3823961766614	6.56707775089142	32.0153974881556
1898	103.256834534856	32.7863131843281	12.6340096501876	57.8365117003405
1899	116.648818433788	37.8048936871363	13.6915989400968	65.1523258065544
1900	123.282774056939	39.6679937704326	14.8608015960164	68.7539786904897
1901	122.397791570027	40.852347931979	14.6836457604667	66.8617978775811
1902	109.837271739416	36.020669066099	14.7253177159711	59.0912849573461
1903	149.872422287862	52.9718185996026	20.2338765757237	76.6667271125358
1904	146.888860946695	50.0209661361517	17.6820713070198	79.185823503523
1905	129.147116005912	42.8280547943673	15.4102128211595	70.9088483903856
1906	130.376432824359	53.2449322096792	16.6981336507241	60.4333669639561
1907	187.880801930472	76.8616052115087	21.7034536560217	89.3157430629416
1908	231.818293549811	98.5984445984944	26.5976205657336	106.622228385583
1909	249.468670252505	89.9434832537679	25.8462582081961	133.67892879054
1910	309.021299999372	112.449603616258	28.8393270355565	167.732369347557
1911	417.735166415901	138.837434460229	37.1528938276453	241.744838128027
1912	471.219770368471	172.792271899877	41.4940838011214	256.933414667472
1913	442.231671679949	182.276757874643	45.445792910222	214.509120895084
