TreeID,PlotID,Site,Tree,Species,Canopy Class,Live/Dead,DBH (cm),Stems,Total Cores,Basal Area (cm2),basal area (m2/ha),Density (stems/ha),notes,Distance,Azimuth
DHA019,DHA,Duke Hardwood,019,QUBI,I,LIVE,23.00,1,2,415.5,0.330625,7.957747155,,9.79,182
DHA020,DHA,Duke Hardwood,020,ULAL,I,LIVE,24.20,1,2,460.0,0.366025,7.957747155,,8.23,157
DHA021,DHA,Duke Hardwood,021,QUBI,I,LIVE,29.70,1,2,692.8,0.55130625,7.957747155,,14.06,152
DHA022,DHA,Duke Hardwood,022,FRAM,I,LIVE,31.70,1,2,789.2,0.62805625,7.957747155,,19.32,164
DHA023,DHA,Duke Hardwood,023,QUBI,C,LIVE,66.40,1,2,3462.8,2.7556,7.957747155,,17.52,136
DHA024,DHA,Duke Hardwood,024,ELM,*,DEAD,22.20,1,2,387.1,0.308025,7.957747155,,19.37,78
DHA025,DHA,Duke Hardwood,025,CAOV,D,LIVE,45.80,1,2,1647.5,1.311025,7.957747155,,19.93,45
DHA026,DHA,Duke Hardwood,026,OAK,*,DEAD,29.40,1,0,678.9,0.540225,7.957747155,no core,16.97,18
DHA027,DHA,Duke Hardwood,027,FRAM,C,LIVE,37.90,1,2,1128.2,0.89775625,7.957747155,,18.95,12
DHA028,DHA,Duke Hardwood,028,QUPH,C,LIVE,45.60,1,2,1633.1,1.2996,7.957747155,,19.89,355
DHA029,DHA,Duke Hardwood,029,QUPH,I,LIVE,33.10,1,2,860.5,0.68475625,7.957747155,,19.90,323
DHA030,DHA,Duke Hardwood,030,ULAL,I,LIVE,30.30,1,2,721.1,0.57380625,7.957747155,,13.89,325
DHA031,DHA,Duke Hardwood,031,QUBI,I,LIVE,34.40,1,2,929.4,0.7396,7.957747155,,14.22,289
DHA032,DHA,Duke Hardwood,032,CAOV,C,LIVE,41.40,1,2,1346.1,1.071225,7.957747155,,16.88,266
DHA033,DHA,Duke Hardwood,033,ACRU,C,LIVE,31.00,1,2,754.8,0.600625,7.957747155,VAR. TRILOBA,19.92,237
DHA034,DHA,Duke Hardwood,034,ULAL,C,LIVE,24.50,1,2,471.4,0.37515625,7.957747155,,15.02,239
DHA035,DHA,Duke Hardwood,035,CAOV,D,LIVE,38.60,1,2,1170.2,0.931225,7.957747155,,14.05,215
DHA036,DHA,Duke Hardwood,036,ULAL,C,LIVE,20.10,1,2,317.3,0.25250625,7.957747155,,16.70,211
DHA037,DHA,Duke Hardwood,037,ACRU,S,LIVE,23.50,1,2,433.7,0.34515625,7.957747155,"VAR. TRILOBA, would be C if upright",19.21,198
DHA038,DHA,Duke Hardwood,038,NYSY,I,LIVE,24.90,1,2,487.0,0.38750625,7.957747155,,19.61,177
DHA039,DHA,Duke Hardwood,039,ULAL,C,LIVE,26.90,1,2,568.3,0.45225625,7.957747155,,13.82,179
DHA099,DHA,Duke Hardwood,099,LIST,C,LIVE,32.40,1,2,824.5,0.6561,7.957747155,,16.49,138
DHB001,DHB,Duke Hardwood,001,QUVE,D,LIVE,61.50,1,2,2970.6,2.36390625,7.957747155,,5.29,265
DHB002,DHB,Duke Hardwood,002,LITU,I,LIVE,19.90,1,2,311.0,0.585813609,18.83490451,,8.74,245
DHB003,DHB,Duke Hardwood,003,LITU,S,LIVE,12.20,1,2,116.9,0.220177515,18.83490451,,6.10,250
DHB004,DHB,Duke Hardwood,004,NYSY,S,LIVE,11.90,1,2,111.2,0.209482249,18.83490451,,3.97,229
DHB005,DHB,Duke Hardwood,005,LITU,D,LIVE,48.80,1,2,1870.4,1.4884,7.957747155,,7.53,230
DHB006,DHB,Duke Hardwood,006,LITU,C,LIVE,39.60,1,2,1231.6,0.9801,7.957747155,,11.78,198
DHB007,DHB,Duke Hardwood,007,LITU,I,LIVE,30.80,1,2,745.1,0.5929,7.957747155,,11.78,180
DHB008,DHB,Duke Hardwood,008,LITU,C,LIVE,43.90,1,2,1513.6,1.20450625,7.957747155,,8.13,178
DHB009,DHB,Duke Hardwood,009,CATO,D,LIVE,52.60,1,2,2173.0,1.729225,7.957747155,CENTER WOUND,3.26,160
DHB010,DHB,Duke Hardwood,010,LITU,I,LIVE,30.80,1,2,745.1,0.5929,7.957747155,,12.00,150
DHB011,DHB,Duke Hardwood,011,LITU,S,LIVE,16.30,1,2,208.7,0.393032544,18.83490451,,12.55,138
DHB012,DHB,Duke Hardwood,012,LITU,C,LIVE,41.70,1,2,1365.7,1.08680625,7.957747155,,11.65,110
DHB013,DHB,Duke Hardwood,013,ULAL,S,LIVE,20.50,1,2,330.1,0.26265625,7.957747155,,1.48,57
DHB014,DHB,Duke Hardwood,014,NYSY,S,LIVE,11.80,1,2,109.4,0.205976331,18.83490451,,3.02,44
DHB015,DHB,Duke Hardwood,015,CATO,D,LIVE,43.30,1,1,1472.5,1.17180625,7.957747155,,7.65,16
DHB016,DHB,Duke Hardwood,016,CAGL,C,LIVE,62.90,1,2,3107.4,2.47275625,7.957747155,,7.10,321
DHB017,DHB,Duke Hardwood,017,CAGL,C,LIVE,40.50,1,1,1288.2,1.02515625,7.957747155,,8.56,321
DHB018,DHB,Duke Hardwood,018,CATO,C,LIVE,73.30,1,2,4219.9,3.35805625,7.957747155,,11.69,313
DHB019,DHB,Duke Hardwood,019,QUAL,I,LIVE,20.00,1,2,314.2,0.25,7.957747155,,11.75,306
DHB020,DHB,Duke Hardwood,020,LITU,C,LIVE,32.40,1,2,824.5,0.6561,7.957747155,,18.99,264
DHB021,DHB,Duke Hardwood,021,LITU,C,LIVE,47.90,1,2,1802.0,1.43400625,7.957747155,,17.97,235
DHB022,DHB,Duke Hardwood,022,CAOV,I,LIVE,31.00,1,2,754.8,0.600625,7.957747155,,15.18,239
DHB023,DHB,Duke Hardwood,023,LITU,C,LIVE,36.20,1,2,1029.2,0.819025,7.957747155,,16.18,200
DHB024,DHB,Duke Hardwood,024,LITU,C,LIVE,33.60,1,2,886.7,0.7056,7.957747155,,16.59,184
DHB025,DHB,Duke Hardwood,025,NYSY,I,LIVE,29.60,1,2,688.1,0.5476,7.957747155,,17.21,170
DHB026,DHB,Duke Hardwood,026,LITU,C,LIVE,38.30,1,2,1152.1,0.91680625,7.957747155,,16.83,134
DHB027,DHB,Duke Hardwood,027,LITU,C,LIVE,46.80,1,2,1720.2,1.3689,7.957747155,,14.38,131
DHB028,DHB,Duke Hardwood,028,LITU,C,LIVE,46.20,1,2,1676.4,1.334025,7.957747155,,18.84,108
DHB029,DHB,Duke Hardwood,029,LITU,C,LIVE,28.50,1,2,637.9,0.50765625,7.957747155,,17.17,108
DHB030,DHB,Duke Hardwood,030,LITU,C,LIVE,35.40,1,1,984.2,0.783225,7.957747155,"split stem, funky, took pics",18.65,54
DHB031,DHB,Duke Hardwood,031,CAGL,D,LIVE,63.80,1,2,3196.9,2.544025,7.957747155,has a tree fall scar,15.82,63
DHB032,DHB,Duke Hardwood,032,CAGL,C,LIVE,42.60,1,2,1425.3,1.134225,7.957747155,,14.67,33
DHB033,DHB,Duke Hardwood,033,LITU,I,LIVE,23.40,1,2,430.1,0.342225,7.957747155,,18.68,14
DHB034,DHB,Duke Hardwood,034,LIST,I,LIVE,24.30,1,2,463.8,0.36905625,7.957747155,,14.10,331
DHB035,DHB,Duke Hardwood,035,QUVE,I,LIVE,26.00,1,2,530.9,0.4225,7.957747155,check core for spp,19.20,314
DHC001,DHC,Duke Hardwood,001,ULAL,C,LIVE,32.80,1,2,845.0,0.6724,7.957747155,,6.19,89
DHC002,DHC,Duke Hardwood,002,QUBI,I,LIVE,16.70,1,2,219.0,0.412559172,18.83490451,,9.07,100
DHC003,DHC,Duke Hardwood,003,LIST,C,LIVE,42.00,1,2,1385.4,1.1025,7.957747155,,10.27,80
DHC004,DHC,Duke Hardwood,004,CAOV,C,LIVE,41.40,1,2,1346.1,1.071225,7.957747155,,10.52,48
DHC005,DHC,Duke Hardwood,005,ACRU,C,LIVE,21.90,1,2,376.7,0.29975625,7.957747155,VAR. TRILOBA,10.30,15
DHC006,DHC,Duke Hardwood,006,RED OAK,*,DEAD,47.00,1,0,1734.9,1.380625,7.957747155,"ROTTEN, NO CORE",6.77,11
DHC007,DHC,Duke Hardwood,007,QUBI,I,LIVE,29.30,1,2,674.3,0.53655625,7.957747155,,12.52,356
DHC008,DHC,Duke Hardwood,008,QUBI,I,LIVE,16.20,1,2,206.1,0.388224852,18.83490451,,12.50,348
DHC009,DHC,Duke Hardwood,009,NYSY,I,LIVE,24.40,1,2,467.6,0.3721,7.957747155,,1.63,337
DHC010,DHC,Duke Hardwood,010,LIST,*,DEAD,19.40,1,0,295.6,0.556745562,18.83490451,"ROTTEN, NO CORE",9.49,271
DHC011,DHC,Duke Hardwood,011,QUBI,C,LIVE,80.40,1,2,5076.9,4.0401,7.957747155,,5.18,210
DHC012,DHC,Duke Hardwood,012,ULMUS,*,DEAD,22.80,1,2,408.3,0.3249,7.957747155,,12.53,203
DHC013,DHC,Duke Hardwood,013,CAOV,S,LIVE,15.60,1,2,191.1,0.36,18.83490451,,127.74,196
DHC014,DHC,Duke Hardwood,014,ULAL,I,LIVE,26.00,1,2,530.9,0.4225,7.957747155,,8.03,156
DHC015,DHC,Duke Hardwood,015,CAOV,C,LIVE,37.70,1,2,1116.3,0.88830625,7.957747155,,9.34,134
DHC016,DHC,Duke Hardwood,016,CAOV,C,LIVE,60.30,1,2,2855.8,2.27255625,7.957747155,,9.52,124
DHC017,DHC,Duke Hardwood,017,LIST,I,LIVE,25.30,1,2,502.7,0.40005625,7.957747155,,14.05,111
DHC018,DHC,Duke Hardwood,018,ULAL,C,LIVE,24.80,1,2,483.1,0.3844,7.957747155,,13.98,101
DHC019,DHC,Duke Hardwood,019,LITU,C,LIVE,28.90,1,2,656.0,0.52200625,7.957747155,,18.25,90
DHC020,DHC,Duke Hardwood,020,QUPH,C,LIVE,19.60,1,2,301.7,0.568284024,18.83490451,,17.67,56
DHC021,DHC,Duke Hardwood,021,LIST,I,LIVE,25.30,1,2,502.7,0.40005625,7.957747155,,17.46,46
DHC022,DHC,Duke Hardwood,022,ULAL,C,LIVE,31.30,1,2,769.4,0.61230625,7.957747155,,17.05,6
DHC023,DHC,Duke Hardwood,023,QUBI,C,LIVE,74.50,1,2,4359.2,3.46890625,7.957747155,,14.75,320
DHC024,DHC,Duke Hardwood,024,QUBI,C,LIVE,54.60,1,2,2341.4,1.863225,7.957747155,,13.14,297
DHC025,DHC,Duke Hardwood,025,QUBI,C,LIVE,57.70,1,2,2614.8,2.08080625,7.957747155,,14.12,274
DHC026,DHC,Duke Hardwood,026,QUPH,C,LIVE,42.00,1,2,1385.4,1.1025,7.957747155,,18.44,225
DHC027,DHC,Duke Hardwood,027,NYSY,I,LIVE,29.30,1,2,674.3,0.53655625,7.957747155,,18.69,217
DHC028,DHC,Duke Hardwood,028,QUBI,I,LIVE,38.60,1,2,1170.2,0.931225,7.957747155,,17.36,213
DHC029,DHC,Duke Hardwood,029,NYSY,I,LIVE,31.00,1,2,754.8,0.600625,7.957747155,,15.11,220
DHC030,DHC,Duke Hardwood,030,ULMUS,*,DEAD,33.70,1,0,892.0,0.70980625,7.957747155,"ROTTEN, NO CORE",19.06,313
DHC031,DHC,Duke Hardwood,031,QUBI,I,LIVE,14.50,1,2,165.1,0.31102071,18.83490451,,4.28,138
DLA001,DLA,Duke Loblolly,001,PITA,C,LIVE,32.90,1,2,850.1,0.67650625,7.957747155,,2.15,51
DLA002,DLA,Duke Loblolly,002,PITA,C,LIVE,17.80,1,2,248.8,0.468698225,18.83490451,,6.13,39
DLA003,DLA,Duke Loblolly,003,PITA,C,LIVE,25.00,1,2,490.9,0.390625,7.957747155,,7.79,31
DLA004,DLA,Duke Loblolly,004,PITA,C,LIVE,16.20,1,2,206.1,0.388224852,18.83490451,,11.11,28
DLA005,DLA,Duke Loblolly,005,PITA,C,LIVE,34.70,1,2,945.7,0.75255625,7.957747155,,11.35,12
DLA006,DLA,Duke Loblolly,006,PITA,C,LIVE,28.00,1,2,615.8,0.49,7.957747155,,10.51,6
DLA007,DLA,Duke Loblolly,007,PITA,C,LIVE,36.00,1,2,1017.9,0.81,7.957747155,,5.97,15
DLA008,DLA,Duke Loblolly,008,PITA,C,LIVE,32.40,1,2,824.5,0.6561,7.957747155,,4.97,346
DLA009,DLA,Duke Loblolly,009,LITU,I,LIVE,13.40,1,2,141.0,0.265621302,18.83490451,,10.83,350
DLA010,DLA,Duke Loblolly,010,BEAL,S,LIVE,10.60,1,2,88.2,0.166213018,18.83490451,,11.23,326
DLA011,DLA,Duke Loblolly,011,LIST,I,LIVE,15.00,1,2,176.7,0.332840237,18.83490451,,11.84,321
